field,description,data_type,category
input_tokens,Number of input tokens consumed by the model during the benchmarked workflow run.,Measurement Data,Agent Cost; Agent Activity
output_tokens,Number of output tokens generated by the model during the benchmarked workflow run.,Measurement Data,Agent Cost; Agent Activity
reasoning_tokens,"Number of output tokens the model spent on internal reasoning during the benchmarked workflow run, where the provider reports it separately. Billed as output and included in output_tokens.",Measurement Data,Agent Cost; Agent Activity
total_api_request_count,Total number of AI/agent calls made during the benchmarked workflow run.,Measurement Data,Agent Activity
agent_start_time,Timestamp when the AI agent begins processing the workflow task being benchmarked.,Measurement Data,Agent Speed
agent_end_time,Timestamp when the AI agent completes processing the workflow task being benchmarked.,Measurement Data,Agent Speed
total_agent_runtime,Total seconds of agent activity across all observed AI/agent calls during the benchmarked workflow run.,Measurement Data,Agent Activity
input_price_per_1m,Model input-token price per one million tokens used for the benchmarked agent/model.,Measurement Data,Agent Cost
output_price_per_1m,Model output-token price per one million tokens used for the benchmarked agent/model.,Measurement Data,Agent Cost
workflow_start_time,Timestamp when the benchmarked workflow run started.,Measurement Data,Workflow Runtime
workflow_end_time,Timestamp when the benchmarked workflow run ended.,Measurement Data,Workflow Runtime
agent_output_grade,Reviewer-assessed quality grade for the agent output using the agreed AMI grading scale.,Measurement Data,Agent Quality
workflow_name,Name of the workflow being benchmarked.,Metadata,Workflow
workflow_description,Short description of the workflow being benchmarked and the business work it performs.,Metadata,Workflow
workflow_category,"Category the workflow declares itself into, from the AMI workflow category vocabulary. Decides which other workflows this run may be compared against.",Metadata,Workflow
work_unit,"The countable thing this workflow produces or processes, named by the workflow itself - a ticket, a CV, a support email.",Metadata,Workflow
work_unit_count,How many work units this run handled. Gives cost and duration a denominator so they can be compared against workflows of a different size.,Measurement Data,Workflow
model_name,Name of the AI model or agent configuration being benchmarked.,Metadata,Agent
model_provider,Provider of the AI model or agent being benchmarked.,Metadata,Agent
platform,"Platform or runtime used to execute the AI model, agent or workflow.",Metadata,Agent
workflow_stage,Workflow-defined stage or phase active when an AI or agent call occurred.,Context Data,Agent Activity; Agent Effort Profile
workflow_stage_confidence,Confidence/provenance marker for workflow_stage assignment.,Context Data,Agent Activity; Agent Effort Profile
observed_execution_phase,AMI-observed execution phase assigned from external runtime behaviour when workflow_stage is unavailable.,Context Data,Agent Activity; Agent Effort Profile
observed_execution_phase_confidence,Confidence/provenance marker for observed_execution_phase assignment.,Context Data,Agent Activity; Agent Effort Profile
phase_basis,"Basis used for an Agent Effort Profile row, such as Declared Workflow Stage or Observed Execution Phase.",Context Data,Agent Activity; Agent Effort Profile
stage_agent_call_count,Count of observed agent calls within one run_id and declared workflow_stage or observed_execution_phase.,Measurement Data,Agent Activity; Agent Effort Profile
stage_input_tokens,Sum of input_tokens within one run_id and declared workflow_stage or observed_execution_phase.,Measurement Data,Agent Activity; Agent Effort Profile
stage_output_tokens,Sum of output_tokens within one run_id and declared workflow_stage or observed_execution_phase.,Measurement Data,Agent Activity; Agent Effort Profile
stage_reasoning_tokens,"Number of reasoning tokens attributed to an Agent Effort Profile row, where the provider reports it separately.",Measurement Data,Agent Activity; Agent Effort Profile
stage_total_tokens,Sum of stage_input_tokens and stage_output_tokens within one run_id and declared workflow_stage or observed_execution_phase.,Measurement Data,Agent Activity; Agent Effort Profile
stage_start_time,Earliest agent_start_time within one run_id and declared workflow_stage or observed_execution_phase.,Measurement Data,Agent Activity; Agent Effort Profile
stage_end_time,Latest agent_end_time within one run_id and declared workflow_stage or observed_execution_phase.,Measurement Data,Agent Activity; Agent Effort Profile
stage_agent_runtime,Elapsed seconds between stage_start_time and stage_end_time within one run_id and declared workflow_stage or observed_execution_phase.,Measurement Data,Agent Activity; Agent Effort Profile
